DRAGON QUEST VII Reimagined item ID by Ruimusume（露易娘）

序号	中文	日文	英文	分类	图片
414	魔法的钥匙	まほうのカギ	Magic Key	重要道具	414.png
415	灼热的钥匙	しゃくねつのカギ	Conflagration Key	重要道具	415.png
416	王家的钥匙	王家のカギ	Royal Key	重要道具	416.png
417	封印祠堂的钥匙	封印のほこらのカギ	Multipleximus Key	重要道具	413.png
418	最后的钥匙	さいごのカギ	Ultimate Key	重要道具	418.png
419	项圈的钥匙	くびわのカギ	Collar Key	重要道具	413.png
420	通往考验的钥匙	試練ヘのカギ	Trial Key	重要道具	420.png
421	黄色神奇石板1	ふしぎな石版・黄１	Yellow Fragment 1	重要道具	421.png
422	黄色神奇石板2	ふしぎな石版・黄２	Yellow Fragment 2	重要道具	421.png
423	黄色神奇石板3	ふしぎな石版・黄３	Yellow Fragment 3	重要道具	421.png
424	黄色神奇石板4	ふしぎな石版・黄４	Yellow Fragment 4	重要道具	421.png
425	黄色神奇石板5	ふしぎな石版・黄５	Yellow Fragment 5	重要道具	421.png
426	黄色神奇石板6	ふしぎな石版・黄６	Yellow Fragment 6	重要道具	421.png
427	黄色神奇石板7	ふしぎな石版・黄７	Yellow Fragment 7	重要道具	421.png
428	黄色神奇石板8	ふしぎな石版・黄８	Yellow Fragment 8	重要道具	421.png
429	黄色神奇石板9	ふしぎな石版・黄９	Yellow Fragment 9	重要道具	421.png
430	黄色神奇石板10	ふしぎな石版・黄１０	Yellow Fragment 10	重要道具	421.png
431	黄色神奇石板11	ふしぎな石版・黄１１	Yellow Fragment 11	重要道具	421.png
432	黄色神奇石板12	ふしぎな石版・黄１２	Yellow Fragment 12	重要道具	421.png
433	绿色神奇石板1	ふしぎな石版・緑１	Green Fragment 1	重要道具	422.png
434	绿色神奇石板2	ふしぎな石版・緑２	Green Fragment 2	重要道具	422.png
435	绿色神奇石板3	ふしぎな石版・緑３	Green Fragment 3	重要道具	422.png
436	绿色神奇石板4	ふしぎな石版・緑４	Green Fragment 4	重要道具	422.png
437	绿色神奇石板5	ふしぎな石版・緑５	Green Fragment 5	重要道具	422.png
438	绿色神奇石板6	ふしぎな石版・緑６	Green Fragment 6	重要道具	422.png
439	绿色神奇石板7	ふしぎな石版・緑７	Green Fragment 7	重要道具	422.png
440	绿色神奇石板8	ふしぎな石版・緑８	Green Fragment 8	重要道具	422.png
441	红色神奇石板1	ふしぎな石版・赤１	Red Fragment 1	重要道具	423.png
442	红色神奇石板2	ふしぎな石版・赤２	Red Fragment 2	重要道具	423.png
443	红色神奇石板3	ふしぎな石版・赤３	Red Fragment 3	重要道具	423.png
444	红色神奇石板4	ふしぎな石版・赤４	Red Fragment 4	重要道具	423.png
445	红色神奇石板5	ふしぎな石版・赤５	Red Fragment 5	重要道具	423.png
446	红色神奇石板6	ふしぎな石版・赤６	Red Fragment 6	重要道具	423.png
447	红色神奇石板7	ふしぎな石版・赤７	Red Fragment 7	重要道具	423.png
448	红色神奇石板8	ふしぎな石版・赤８	Red Fragment 8	重要道具	423.png
449	红色神奇石板9	ふしぎな石版・赤９	Red Fragment 9	重要道具	423.png
450	红色神奇石板10	ふしぎな石版・赤１０	Red Fragment 10	重要道具	423.png
451	蓝色神奇石板1	ふしぎな石版・青１	Blue Fragment 1	重要道具	424.png
452	蓝色神奇石板2	ふしぎな石版・青２	Blue Fragment 2	重要道具	424.png
453	蓝色神奇石板3	ふしぎな石版・青３	Blue Fragment 3	重要道具	424.png
454	蓝色神奇石板4	ふしぎな石版・青４	Blue Fragment 4	重要道具	424.png
455	蓝色神奇石板5	ふしぎな石版・青５	Blue Fragment 5	重要道具	424.png
456	蓝色神奇石板6	ふしぎな石版・青６	Blue Fragment 6	重要道具	424.png
457	蓝色神奇石板7	ふしぎな石版・青７	Blue Fragment 7	重要道具	424.png
458	蓝色神奇石板8	ふしぎな石版・青８	Blue Fragment 8	重要道具	424.png
459	蓝色神奇石板9	ふしぎな石版・青９	Blue Fragment 9	重要道具	424.png
460	蓝色神奇石板10	ふしぎな石版・青１０	Blue Fragment 10	重要道具	424.png
461	灰色神奇石板1	ふしぎな石版・灰１	Grey Fragment 1	重要道具	425.png
462	灰色神奇石板2	ふしぎな石版・灰２	Grey Fragment 2	重要道具	425.png
463	灰色神奇石板3	ふしぎな石版・灰３	Grey Fragment 3	重要道具	425.png
464	灰色神奇石板4	ふしぎな石版・灰４	Grey Fragment 4	重要道具	425.png
465	灰色神奇石板5	ふしぎな石版・灰５	Grey Fragment 5	重要道具	425.png
466	脱落的石板1	はずれた石版	Missing Fragment	重要道具	425.png
467	灰色神奇石板6	ふしぎな石版・灰６	Grey Fragment 6	重要道具	425.png
468	灰色神奇石板7	ふしぎな石版・灰７	Grey Fragment 7	重要道具	425.png
469	灰色神奇石板8	ふしぎな石版・灰８	Grey Fragment 8	重要道具	425.png
470	灰色神奇石板9	ふしぎな石版・灰９	Grey Fragment 9	重要道具	425.png
471	灰色神奇石板10	ふしぎな石版・灰１０	Grey Fragment 10	重要道具	425.png
472	灰色神奇石板11	ふしぎな石版・灰１１	Grey Fragment 11	重要道具	425.png
473	灰色神奇石板12	ふしぎな石版・灰１２	Grey Fragment 12	重要道具	425.png
474	深蓝神奇石板1	ふしぎな石版・碧１	Turquoise Fragment 1	重要道具	426.png
475	深蓝神奇石板2	ふしぎな石版・碧２	Turquoise Fragment 2	重要道具	426.png
476	深蓝神奇石板3	ふしぎな石版・碧３	Turquoise Fragment 3	重要道具	426.png
477	黑色神奇石板1	ふしぎな石版・黒１	Black Fragment 1	重要道具	427.png
478	黑色神奇石板2	ふしぎな石版・黒２	Black Fragment 2	重要道具	427.png
479	黑色神奇石板3	ふしぎな石版・黒３	Black Fragment 3	重要道具	427.png
480	古怪神奇石板	ふしぎすぎる石版	Curious Fragment	重要道具	428.png
481	银色神奇石板1	ふしぎな石版・銀１	Silver Fragment 1	重要道具	429.png
482	银色神奇石板2	ふしぎな石版・銀２	Silver Fragment 2	重要道具	429.png
483	银色神奇石板3	ふしぎな石版・銀３	Silver Fragment 3	重要道具	429.png
484	银色神奇石板4	ふしぎな石版・銀４	Silver Fragment 4	重要道具	429.png
485	金色神奇石板1	ふしぎな石版・金１	Gold Fragment 1	重要道具	430.png
486	金色神奇石板2	ふしぎな石版・金２	Gold Fragment 2	重要道具	430.png
487	金色神奇石板3	ふしぎな石版・金３	Gold Fragment 3	重要道具	430.png
488	金色神奇石板4	ふしぎな石版・金４	Gold Fragment 4	重要道具	430.png
489	金色神奇石板5	ふしぎな石版・金５	Gold Fragment 5	重要道具	430.png
490	金色神奇石板6	ふしぎな石版・金６	Gold Fragment 6	重要道具	430.png
491	金色神奇石板7	ふしぎな石版・金７	Gold Fragment 7	重要道具	430.png
492	金色神奇石板8	ふしぎな石版・金８	Gold Fragment 8	重要道具	430.png
493	小徽章	ちいさなメダル	Mini Medal	重要道具	431.png
494	小徽章笔记	メダル手帳	Medal Album	重要道具	432.png
495	特别会员证	特別会員証	VIP Pass	重要道具	433.png
496					
497					
498					
499					
500					
501					
502					
503					
504					
505					
